Invasive Cancer Incidence Rates by County in Texas
"Breast Male and Female, NH Black, 2017"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Wise,1034,  ~,  ~,  ~,  ~,  ~
Cooke,1404,  ~,  ~,  ~,  ~,  ~
De Witt,1790,  ~,  ~,  ~,  ~,  ~
Milam,2293,  ~,  ~,  ~,  ~,  ~
Henderson,5226,  ~,  ~,  ~,  ~,  ~
Parker,2037,  ~,  ~,  ~,  ~,  ~
Randall,4467,  ~,  ~,  ~,  ~,  ~
Ellis,18291,20,109.3,114.5,67.8,181.0
Morris,2883,  ~,  ~,  ~,  ~,  ~
Johnson,5900,  ~,  ~,  ~,  ~,  ~
Lamar,6810,  ~,  ~,  ~,  ~,  ~
Bastrop,6139,  ~,  ~,  ~,  ~,  ~
Cherokee,7538,  ~,  ~,  ~,  ~,  ~
Rusk,9604,  ~,  ~,  ~,  ~,  ~
Walker,17175,  ~,  ~,  ~,  ~,  ~
Grayson,8476,  ~,  ~,  ~,  ~,  ~
San Augustine,1828,  ~,  ~,  ~,  ~,  ~
Limestone,4085,  ~,  ~,  ~,  ~,  ~
Hunt,7793,  ~,  ~,  ~,  ~,  ~
Wharton,5516,  ~,  ~,  ~,  ~,  ~
Kaufman,14211,  ~,  ~,  ~,  ~,  ~
San Patricio,1155,  ~,  ~,  ~,  ~,  ~
Midland,10672,  ~,  ~,  ~,  ~,  ~
Collin,97953,66,67.4,83.0,59.7,111.9
Medina,1326,  ~,  ~,  ~,  ~,  ~
Polk,5068,  ~,  ~,  ~,  ~,  ~
Potter,12780,  ~,  ~,  ~,  ~,  ~
Caldwell,2560,  ~,  ~,  ~,  ~,  ~
Denton,85544,48,56.1,76.8,52.8,107.9
El Paso,27595,  ~,  ~,  ~,  ~,  ~
Brazos,24221,  ~,  ~,  ~,  ~,  ~
Hopkins,2750,  ~,  ~,  ~,  ~,  ~
Leon,1258,  ~,  ~,  ~,  ~,  ~
Guadalupe,12582,  ~,  ~,  ~,  ~,  ~
Camp,2150,  ~,  ~,  ~,  ~,  ~
Dallas,604092,409,67.7,73.4,66.1,81.2
Smith,40424,30,74.2,73.2,48.8,105.7
Gregg,25674,16,62.3,71.7,40.1,117.5
Harris,888003,572,64.4,71.0,65.0,77.3
