Invasive Cancer Incidence Rates by County in Texas
"Breast Male and Female, NH Black, 2018"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Cooke,1406,  ~,  ~,  ~,  ~,  ~
Gray,1178,  ~,  ~,  ~,  ~,  ~
Jones,2474,  ~,  ~,  ~,  ~,  ~
Madison,2840,  ~,  ~,  ~,  ~,  ~
Waller,13112,  ~,  ~,  ~,  ~,  ~
Wood,2474,  ~,  ~,  ~,  ~,  ~
San Jacinto,2817,  ~,  ~,  ~,  ~,  ~
Kleberg,1104,  ~,  ~,  ~,  ~,  ~
Rockwall,6949,  ~,  ~,  ~,  ~,  ~
Lamar,6908,  ~,  ~,  ~,  ~,  ~
Grimes,4343,  ~,  ~,  ~,  ~,  ~
Lee,1876,  ~,  ~,  ~,  ~,  ~
Falls,4091,  ~,  ~,  ~,  ~,  ~
Smith,40991,45,109.8,109.9,79.0,148.7
Washington,6174,  ~,  ~,  ~,  ~,  ~
Milam,2263,  ~,  ~,  ~,  ~,  ~
Hays,9176,  ~,  ~,  ~,  ~,  ~
Bastrop,6124,  ~,  ~,  ~,  ~,  ~
Colorado,2571,  ~,  ~,  ~,  ~,  ~
Cherokee,7591,  ~,  ~,  ~,  ~,  ~
Wichita,14631,  ~,  ~,  ~,  ~,  ~
Gregg,25788,23,89.2,86.5,53.9,131.7
Denton,91146,51,56.0,85.2,58.4,119.1
Bowie,24157,19,78.7,84.7,50.5,133.0
Panola,3694,  ~,  ~,  ~,  ~,  ~
Wharton,5376,  ~,  ~,  ~,  ~,  ~
Potter,12620,  ~,  ~,  ~,  ~,  ~
Hale,1751,  ~,  ~,  ~,  ~,  ~
McLennan,37244,27,72.5,76.0,49.1,112.1
Fort Bend,163049,135,82.8,75.9,63.0,90.8
Bell,83797,49,58.5,75.9,54.7,102.4
Matagorda,3920,  ~,  ~,  ~,  ~,  ~
Dallas,608809,426,70.0,75.1,67.8,82.9
Limestone,4042,  ~,  ~,  ~,  ~,  ~
Johnson,6404,  ~,  ~,  ~,  ~,  ~
Galveston,43839,37,84.4,73.6,51.0,103.0
Travis,105742,68,64.3,73.5,56.4,94.1
Brazoria,52873,36,68.1,72.6,48.8,103.9
Liberty,8292,  ~,  ~,  ~,  ~,  ~
Hill,2444,  ~,  ~,  ~,  ~,  ~
Tarrant,358840,207,57.7,70.9,60.9,82.1
Trinity,1410,  ~,  ~,  ~,  ~,  ~
Collin,104722,61,58.2,69.1,49.9,93.2
Midland,11206,  ~,  ~,  ~,  ~,  ~
Houston,5842,  ~,  ~,  ~,  ~,  ~
Upshur,3415,  ~,  ~,  ~,  ~,  ~
Harris,898525,546,60.8,66.9,61.2,73.0
Orange,7351,  ~,  ~,  ~,  ~,  ~
Lubbock,22810,  ~,  ~,  ~,  ~,  ~
Navarro,6562,  ~,  ~,  ~,  ~,  ~
Victoria,5592,  ~,  ~,  ~,  ~,  ~
Burleson,2389,  ~,  ~,  ~,  ~,  ~
Jefferson,85587,55,64.3,60.6,45.2,79.7
Fayette,1629,  ~,  ~,  ~,  ~,  ~
Ellis,19931,  ~,  ~,  ~,  ~,  ~
Williamson,39788,  ~,  ~,  ~,  ~,  ~
Bexar,151719,73,48.1,53.7,41.8,68.0
Montgomery,31879,16,50.2,53.3,30.2,88.2
Kaufman,15992,  ~,  ~,  ~,  ~,  ~
Jasper,5863,  ~,  ~,  ~,  ~,  ~
Leon,1249,  ~,  ~,  ~,  ~,  ~
Cass,5181,  ~,  ~,  ~,  ~,  ~
Tyler,2428,  ~,  ~,  ~,  ~,  ~
Nueces,13326,  ~,  ~,  ~,  ~,  ~
Brazos,24613,  ~,  ~,  ~,  ~,  ~
Henderson,5321,  ~,  ~,  ~,  ~,  ~
Harrison,14095,  ~,  ~,  ~,  ~,  ~
Hardin,3272,  ~,  ~,  ~,  ~,  ~
Comal,3528,  ~,  ~,  ~,  ~,  ~
Grayson,8731,  ~,  ~,  ~,  ~,  ~
Angelina,13243,  ~,  ~,  ~,  ~,  ~
Gonzales,1289,  ~,  ~,  ~,  ~,  ~
Tom Green,4707,  ~,  ~,  ~,  ~,  ~
Chambers,3373,  ~,  ~,  ~,  ~,  ~
Guadalupe,13190,  ~,  ~,  ~,  ~,  ~
Taylor,11019,  ~,  ~,  ~,  ~,  ~
Polk,5063,  ~,  ~,  ~,  ~,  ~
Ector,7408,  ~,  ~,  ~,  ~,  ~
Van Zandt,1686,  ~,  ~,  ~,  ~,  ~
Fannin,2369,  ~,  ~,  ~,  ~,  ~
San Augustine,1809,  ~,  ~,  ~,  ~,  ~
Hidalgo,3917,  ~,  ~,  ~,  ~,  ~
Austin,2716,  ~,  ~,  ~,  ~,  ~
Freestone,3081,  ~,  ~,  ~,  ~,  ~
Walker,17164,  ~,  ~,  ~,  ~,  ~
Robertson,3374,  ~,  ~,  ~,  ~,  ~
Red River,2040,  ~,  ~,  ~,  ~,  ~
Coryell,13271,  ~,  ~,  ~,  ~,  ~
Caldwell,2566,  ~,  ~,  ~,  ~,  ~
Titus,3074,  ~,  ~,  ~,  ~,  ~
Nacogdoches,11913,  ~,  ~,  ~,  ~,  ~
Rusk,9631,  ~,  ~,  ~,  ~,  ~
Howard,2224,  ~,  ~,  ~,  ~,  ~
Morris,2849,  ~,  ~,  ~,  ~,  ~
Anderson,12603,  ~,  ~,  ~,  ~,  ~
El Paso,27377,  ~,  ~,  ~,  ~,  ~
Hopkins,2774,  ~,  ~,  ~,  ~,  ~
Hunt,8053,  ~,  ~,  ~,  ~,  ~
Randall,4735,0, 0.0, 0.0, 0.0, 0.0
Parker,2238,0, 0.0, 0.0, 0.0, 0.0
San Patricio,1122,0, 0.0, 0.0, 0.0, 0.0
Newton,2846,0, 0.0, 0.0, 0.0, 0.0
Medina,1377,0, 0.0, 0.0, 0.0, 0.0
Marion,2163,0, 0.0, 0.0, 0.0, 0.0
Lavaca,1245,0, 0.0, 0.0, 0.0, 0.0
Wilbarger,1026,0, 0.0, 0.0, 0.0, 0.0
Shelby,4484,0, 0.0, 0.0, 0.0, 0.0
De Witt,1745,0, 0.0, 0.0, 0.0, 0.0
Camp,2191,0, 0.0, 0.0, 0.0, 0.0
Cameron,1728,0, 0.0, 0.0, 0.0, 0.0
Brown,1526,0, 0.0, 0.0, 0.0, 0.0
Bee,2763,0, 0.0, 0.0, 0.0, 0.0
Wise,1064,0, 0.0, 0.0, 0.0, 0.0
Karnes,1352,0, 0.0, 0.0, 0.0, 0.0
STATE,3553809,2199,61.9,68.0, 65.1,71.1

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Population."
"Rates generated on Jun 13, 2023."
"Cancer Incidence File, Apr 2022."
