Invasive Cancer Incidence Rates by County in Texas
"Breast Male and Female, NH White, 2019"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Lipscomb,1985,  ~,  ~,  ~,  ~,  ~
Starr,2120,  ~,  ~,  ~,  ~,  ~
Armstrong,1642,  ~,  ~,  ~,  ~,  ~
Coke,2486,  ~,  ~,  ~,  ~,  ~
Somervell,7222,  ~,  ~,  ~,  ~,  ~
Yoakum,2640,  ~,  ~,  ~,  ~,  ~
Marion,7088,16,225.7,141.3,76.1,251.8
Lynn,3052,  ~,  ~,  ~,  ~,  ~
Deaf Smith,4381,  ~,  ~,  ~,  ~,  ~
Archer,7781,  ~,  ~,  ~,  ~,  ~
Mills,3871,  ~,  ~,  ~,  ~,  ~
Hardeman,2703,  ~,  ~,  ~,  ~,  ~
Polk,36829,58,157.5,113.2,83.1,151.8
Bee,10172,  ~,  ~,  ~,  ~,  ~
San Saba,3846,  ~,  ~,  ~,  ~,  ~
Jack,6899,  ~,  ~,  ~,  ~,  ~
Frio,2875,  ~,  ~,  ~,  ~,  ~
Refugio,2846,  ~,  ~,  ~,  ~,  ~
Baylor,2883,  ~,  ~,  ~,  ~,  ~
Morris,8033,  ~,  ~,  ~,  ~,  ~
Martin,2848,  ~,  ~,  ~,  ~,  ~
Nolan,8130,  ~,  ~,  ~,  ~,  ~
Comanche,9463,  ~,  ~,  ~,  ~,  ~
San Patricio,25397,35,137.8,97.1,66.0,139.2
Cooke,31094,43,138.3,95.0,66.2,133.1
Gregg,71893,88,122.4,93.8,74.0,117.5
Aransas,15742,25,158.8,92.9,51.4,158.1
Trinity,11585,17,146.7,92.4,48.0,165.6
Real,2396,  ~,  ~,  ~,  ~,  ~
Lee,11052,  ~,  ~,  ~,  ~,  ~
Matagorda,15999,21,131.3,90.2,51.2,149.2
Live Oak,6564,  ~,  ~,  ~,  ~,  ~
Crockett,1084,  ~,  ~,  ~,  ~,  ~
Grimes,17172,20,116.5,88.7,50.8,145.1
Stonewall,1028,  ~,  ~,  ~,  ~,  ~
Dallam,3552,  ~,  ~,  ~,  ~,  ~
Williamson,350493,368,105.0,86.9,78.1,96.5
Menard,1255,  ~,  ~,  ~,  ~,  ~
Montague,17134,22,128.4,85.4,49.7,138.8
Fort Bend,264491,278,105.1,84.5,74.5,95.6
Potter,51446,58,112.7,84.4,62.9,111.4
Cass,23024,28,121.6,83.4,54.0,125.1
Ward,4730,  ~,  ~,  ~,  ~,  ~
Hopkins,27326,30,109.8,82.5,53.9,121.8
Bexar,558246,587,105.2,82.0,75.2,89.2
Parker,119652,123,102.8,81.5,67.1,98.1
Liberty,53834,54,100.3,80.6,59.7,106.7
Falls,8866,  ~,  ~,  ~,  ~,  ~
Lavaca,14828,20,134.9,80.2,47.1,132.5
Waller,23973,29,121.0,79.6,52.2,118.4
Ochiltree,4174,  ~,  ~,  ~,  ~,  ~
Hays,123378,116,94.0,79.4,65.0,96.1
Dallas,765408,840,109.8,79.3,73.8,85.3
Travis,636401,561,88.2,79.0,72.4,86.1
Henderson,65067,79,121.4,78.3,60.2,100.7
Chambers,28967,27,93.2,78.3,50.9,115.9
Brazoria,172834,170,98.4,77.8,66.2,91.0
Smith,139941,159,113.6,76.9,64.7,90.9
Randall,97677,96,98.3,76.6,61.3,94.7
Anderson,34144,39,114.2,76.6,53.7,107.2
Floyd,2142,  ~,  ~,  ~,  ~,  ~
Denton,522467,473,90.5,76.0,69.2,83.4
Burleson,12008,  ~,  ~,  ~,  ~,  ~
