Invasive Cancer Incidence Rates by County in Texas
"Breast Male and Female, Hispanic, 2015"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Mason,1024,  ~,  ~,  ~,  ~,  ~
Hall,1065,  ~,  ~,  ~,  ~,  ~
Trinity,1349,  ~,  ~,  ~,  ~,  ~
Callahan,1248,  ~,  ~,  ~,  ~,  ~
Lavaca,3600,  ~,  ~,  ~,  ~,  ~
Leon,2381,  ~,  ~,  ~,  ~,  ~
Blanco,2083,  ~,  ~,  ~,  ~,  ~
Ward,6072,  ~,  ~,  ~,  ~,  ~
Winkler,4768,  ~,  ~,  ~,  ~,  ~
Collingsworth,1002,  ~,  ~,  ~,  ~,  ~
Jones,5354,  ~,  ~,  ~,  ~,  ~
Van Zandt,5427,  ~,  ~,  ~,  ~,  ~
Hockley,10859,  ~,  ~,  ~,  ~,  ~
Knox,1268,  ~,  ~,  ~,  ~,  ~
Randall,26268,  ~,  ~,  ~,  ~,  ~
Gregg,22436,  ~,  ~,  ~,  ~,  ~
Cass,1300,  ~,  ~,  ~,  ~,  ~
Coryell,13574,  ~,  ~,  ~,  ~,  ~
Wheeler,1527,  ~,  ~,  ~,  ~,  ~
Eastland,2863,  ~,  ~,  ~,  ~,  ~
Runnels,3523,  ~,  ~,  ~,  ~,  ~
Upton,1943,  ~,  ~,  ~,  ~,  ~
Jim Hogg,4898,  ~,  ~,  ~,  ~,  ~
San Patricio,38180,27,70.7,83.9,54.9,122.3
Childress,2078,  ~,  ~,  ~,  ~,  ~
Edwards,1062,  ~,  ~,  ~,  ~,  ~
Kleberg,22693,  ~,  ~,  ~,  ~,  ~
Limestone,4919,  ~,  ~,  ~,  ~,  ~
Matagorda,15138,  ~,  ~,  ~,  ~,  ~
Hood,6526,  ~,  ~,  ~,  ~,  ~
Kinney,2127,  ~,  ~,  ~,  ~,  ~
Bosque,3089,  ~,  ~,  ~,  ~,  ~
Gaines,8195,  ~,  ~,  ~,  ~,  ~
Kimble,1035,  ~,  ~,  ~,  ~,  ~
Kendall,9176,  ~,  ~,  ~,  ~,  ~
Coleman,1461,  ~,  ~,  ~,  ~,  ~
Crosby,3265,  ~,  ~,  ~,  ~,  ~
Bell,81209,33,40.6,70.1,47.2,99.8
Jim Wells,33370,22,65.9,69.7,43.5,105.7
Bowie,6739,  ~,  ~,  ~,  ~,  ~
Castro,4934,  ~,  ~,  ~,  ~,  ~
Hill,6929,  ~,  ~,  ~,  ~,  ~
Atascosa,30772,19,61.7,65.7,39.2,103.4
Andrews,10124,  ~,  ~,  ~,  ~,  ~
Lubbock,102747,46,44.8,64.6,46.7,86.9
Burnet,9733,  ~,  ~,  ~,  ~,  ~
El Paso,682346,393,57.6,63.4,57.2,70.1
Comal,34402,19,55.2,61.4,36.5,96.8
Victoria,42289,22,52.0,60.0,37.2,91.5
Henderson,9506,  ~,  ~,  ~,  ~,  ~
McLennan,62913,23,36.6,59.8,37.1,90.5
Maverick,54945,29,52.8,59.5,39.6,85.5
Starr,60960,32,52.5,58.4,39.8,82.5
Cameron,374387,185,49.4,58.1,49.9,67.2
Wharton,16623,  ~,  ~,  ~,  ~,  ~
Dimmit,9383,  ~,  ~,  ~,  ~,  ~
Nolan,5452,  ~,  ~,  ~,  ~,  ~
Brooks,6520,  ~,  ~,  ~,  ~,  ~
Bee,19047,  ~,  ~,  ~,  ~,  ~
Galveston,76500,29,37.9,56.2,36.8,81.5
Bexar,1131392,521,46.0,56.2,51.4,61.3
Rusk,8474,  ~,  ~,  ~,  ~,  ~
Karnes,8224,  ~,  ~,  ~,  ~,  ~
Mitchell,3471,  ~,  ~,  ~,  ~,  ~
Guadalupe,56181,28,49.8,55.8,36.8,81.1
Nueces,226804,116,51.1,55.7,45.9,67.0
Zapata,13607,  ~,  ~,  ~,  ~,  ~
Fort Bend,170953,62,36.3,55.1,41.0,72.3
Gonzales,10240,  ~,  ~,  ~,  ~,  ~
Duval,10106,  ~,  ~,  ~,  ~,  ~
Navarro,12565,  ~,  ~,  ~,  ~,  ~
Travis,398741,126,31.6,53.1,43.2,64.4
Webb,257507,105,40.8,53.0,43.2,64.2
Wise,11691,  ~,  ~,  ~,  ~,  ~
Collin,136981,41,29.9,51.0,33.9,73.0
Stephens,2158,  ~,  ~,  ~,  ~,  ~
Pecos,10980,  ~,  ~,  ~,  ~,  ~
Bastrop,28531,  ~,  ~,  ~,  ~,  ~
Ector,94131,31,32.9,48.8,32.6,70.0
Williamson,121978,36,29.5,48.8,32.4,70.1
Angelina,18900,  ~,  ~,  ~,  ~,  ~
Uvalde,19137,  ~,  ~,  ~,  ~,  ~
Harris,1910158,566,29.6,47.0,42.7,51.5
Refugio,3684,  ~,  ~,  ~,  ~,  ~
Hidalgo,770147,277,36.0,46.8,41.4,52.7
Dallas,1007538,290,28.8,46.7,40.7,53.3
