Invasive Cancer Incidence Rates by County in Texas
"All Sites, NH American Indian/Alaska Native, 2018"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Bell,1858,  ~,  ~,  ~,  ~,  ~
Grayson,1985,  ~,  ~,  ~,  ~,  ~
Denton,4302,21,488.1,518.6,304.0,823.7
Fort Bend,1990,  ~,  ~,  ~,  ~,  ~
Lubbock,1282,  ~,  ~,  ~,  ~,  ~
Williamson,2093,  ~,  ~,  ~,  ~,  ~
Tarrant,9153,45,491.6,449.6,323.0,610.9
Travis,3707,  ~,  ~,  ~,  ~,  ~
Parker,1098,  ~,  ~,  ~,  ~,  ~
Collin,4559,17,372.9,403.0,229.9,655.1
Dallas,9102,38,417.5,387.0,269.5,539.0
Montgomery,2459,  ~,  ~,  ~,  ~,  ~
Wichita,1123,  ~,  ~,  ~,  ~,  ~
Harris,11072,36,325.1,295.0,203.2,415.2
Bexar,5602,18,321.3,291.4,169.0,471.7
Galveston,1375,  ~,  ~,  ~,  ~,  ~
El Paso,2563,  ~,  ~,  ~,  ~,  ~
Nueces,1009,  ~,  ~,  ~,  ~,  ~
Brazoria,1448,  ~,  ~,  ~,  ~,  ~
STATE,106216,435,409.5,359.2, 325.0,396.1

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Population."
"Rates generated on Jun 15, 2023."
"Cancer Incidence File, Apr 2022."
