Invasive Cancer Incidence Rates by County in Texas
"All Sites, NH American Indian/Alaska Native, 2019"
County,Population at Risk,Cases,Crude Rate,Age-adjusted Rate,95% Confidence Interval-Lower Limit,95% Confidence Interval-Upper Limit
Williamson,2174,25,1150.0,1150.7,737.2,1714.7
Grayson,2072,16,772.2,723.5,397.0,1211.4
Fort Bend,1996,  ~,  ~,  ~,  ~,  ~
Collin,4590,27,588.2,609.1,394.9,897.7
Johnson,1024,  ~,  ~,  ~,  ~,  ~
Travis,3707,19,512.5,478.1,272.4,786.2
Denton,4426,17,384.1,447.0,249.9,732.2
Dallas,9014,39,432.7,382.9,269.4,530.3
Harris,10972,41,373.7,346.5,245.4,476.1
El Paso,2544,  ~,  ~,  ~,  ~,  ~
Brazoria,1491,  ~,  ~,  ~,  ~,  ~
Wichita,1121,  ~,  ~,  ~,  ~,  ~
Lubbock,1385,  ~,  ~,  ~,  ~,  ~
Tarrant,9180,28,305.0,282.6,184.3,416.0
Parker,1080,  ~,  ~,  ~,  ~,  ~
Galveston,1394,  ~,  ~,  ~,  ~,  ~
Montgomery,2503,  ~,  ~,  ~,  ~,  ~
Bell,1891,  ~,  ~,  ~,  ~,  ~
Bexar,5788,  ~,  ~,  ~,  ~,  ~
Nueces,1012,  ~,  ~,  ~,  ~,  ~
STATE,107768,408,378.6,326.5, 294.4,361.2

"Note: All rates are per 100,000. Rates are age-adjusted to the 2000 U.S. Standard Population."
"Rates generated on Jun 15, 2023."
"Cancer Incidence File, Apr 2022."
